Change Request Forms - 2026,,,,,,,,,,,,,,,,,,,,
Month,Client Name,Partner Name,Conversation#,Change Requested By,Change Request Date,Category,Reason for Raising,Change Request,Time Spent on Configuration,Time Spent on Review/Testing,Total Time,No. of Errors,Configuration Analyst,Review/Testing Analyst,Implementation Manager/CRM,Completed Date,Rating,Comments,Billable/Non Billable,
July,K2 Construction,"LumberFi, Inc",471200,Client,07/07/2026,Eligibility Setup,"Add the following classes and update eligibility accordingly:
•	Full-Time LOA with Benefits – Use this class when an employee is on a Leave of Absence (LOA) and all benefits remain active throughout the leave.
•	Full-Time LOA without Benefits – Use this class when a full-time employee is on a Leave of Absence and all benefits are terminated during the leave.
•	Part-Time LOA without Benefits – Use this class when a part-time employee is on a Leave of Absence. Benefits will not continue while the employee is on leave.","We have added the following classes and updated the eligibility accordingly:
•	Full-Time LOA with Benefits – Use this class when an employee is on a Leave of Absence (LOA) and all benefits remain active throughout the leave.
•	Full-Time LOA without Benefits – Use this class when a full-time employee is on a Leave of Absence and all benefits are terminated during the leave.
•	Part-Time LOA without Benefits – Use this class when a part-time employee is on a Leave of Absence. Benefits will not continue while the employee is on leave.",0:20,1:30,1:50,,Jeevan S,Nischith,Nitya,07/07/2026,5,,,
July,Stratus Systems LLC,"LumberFi, Inc",466867,Client,07/08/2026,Plan Setup,Voluntary Life: Age reductions apply first of the month following birthday,"We have updated the Voluntary Life plan setup. The age reduction schedule has been changed from ""Plan Anniversary"" to ""the first of the month following the birthday"".
",0:10,0:30,0:40,,Pratap,Nischith,Nitya,07/08/2026,5,,,
July,All Clients,"LumberFi, Inc",461932,Partner,07/09/2026,Field Setup,"Marital Status Effective Date and Relationship Effective Date
•	Disable Marital Status Effective Date on the Employee Personal Information page.
•	Remove mandatory requirement for the Dependent Relationship Effective Date from the Dependent Information page.
•	Display Emergency Contacts setup has to be removed for all Lumber clients as this info is already collected on Lumber. But this was enabled for all the client that went live before 4/30/2026.
","We have updated the field configuration for all Lumber clients. Below is a summary of the changes that have been implemented:

1. We Disabled the ""Marital Status Effective Date"" field on the ""Employee Personal Information"" page.
2. We Removed the ""mandatory requirement"" for the ""Dependent Relationship Effective Date"" field on the ""Dependent Information"" page.
3. We Removed the ""Emergency Contact"" setup for all Lumber clients.
",1:30,1:20,2:50,,Pratap,Kiran B S,Nitya,07/09/2026,5,,,
July,Higdon Construction LLC,"LumberFi, Inc",472018,Client,07/09/2026,Plan Setup,"Update HSA configuration – employees cannot waive HSA plan, and minimum weekly amount is $20","We have Updated For this group, we are temporarily hardcoding the following settings in the backend. We plan to move these changes on Monday, 07/13/2026.
1. Disable the Decline option by enabling the HSA Employer (ER) Contribution. This workaround is required because the HSA plan setup does not function if the Decline option is unchecked.
2. Set the minimum contribution to $20. If a user enters an amount below $20, the following validation message will be displayed:
3.""The minimum weekly HSA contribution is $20. Enter a value of $20 or more.""
",0:10,0:30,0:40,,Pratap,Kiran B S,Nitya,07/13/2026,4,,,
July,K2 Construction,"LumberFi, Inc",470401,Client,07/14/2026,Waiting Period Rules,"

















Update rehire rule for Medical
-	if rehired within 13 weeks, the date of rehire eligibility applies; after 13 weeks, it is FOMF 60 days.
For K2, the rehires are treated as follows

•	If rehired within 30 days (4 weeks), the employee should be reinstated to prior coverage
•	If rehired between 4 weeks and 13 weeks,

o	offer benefits on the rehire date if the break in employment is less than the prior employment duration
o	offer benefits with a new hire waiting period, if the break in employment is longer than the prior employment duration
•	If rehired after 13 weeks, offer benefits with the new hire waiting period.

In our system, for both the API and file feeds, rehires are always handled manually, one by one. Someone must go into the employee record and click the rehire button. For K2, every time we have a rehire, the team should review these rules and apply them accordingly.

These are the steps to handle Rehires for K2


•	If rehired within 30 days (4 weeks),

o	Rehire the employee in BenJ and enroll him in the same benefits he had before. He doesn’t need to re-enroll. In the system, the rehire rule is set up as: if rehired within 13 weeks, coverage starts on the rehire date. So, when you rehire, it automatically uses the rehire date as the effective date, and we should just enroll him in the same benefits he had before as of the rehire date. Also assign it to the product to expire the to-do list. Because the K2 doc says they should not be allowed to make changes without a life event.
•	If rehired between 4 and 13 weeks

o	If the break in employment is less than the prior employment,

?	Then you just rehire the employee, and the within-13-weeks rule will be applied by the system, and coverage starts on the rehire date. The employee will receive the email and log in to complete the enrollment.
o	If the break in employment is longer than the prior employment,

?	Do not rehire the employee; assign that to the product. We will need to apply the new-hire waiting period to ensure the effective date is shown correctly
","













We have updated the Rehire Rule from ""Within 91 Days of termination date, First of the Month Following 60 Day(s) from Date of Rehire
Others, First of the Month Following 60 Day(s) from Date of Rehire"" to ""Within 91 Days of termination date, Date of Rehire
Others, First of the Month Following 60 Day(s) from Date of Rehire""

Manual Process by Data Integrations Team
1.	If rehired within 30 days (4 weeks)
When processing a rehire, the system automatically uses the rehire date as the effective date. The employee should be manually enrolled in the same benefits they had prior to termination, effective as of the rehire date.
Also, assign this record to the Product team so they can expire/end the to-do list. According to the K2 documentation, employees should not be allowed to make benefit changes unless they have a qualifying life event.
Issue: In these scenarios, the rehire activation email is triggered automatically. The current workaround is to temporarily disable the email notification before processing the rehire and then use this approach only for these specific cases.

2.	Rehires Between 4 and 13 Weeks
•	If the break in employment is shorter than the employee's prior period of employment:
o	Rehire the employee as usual.
o	The system will automatically apply the within-13-weeks rule, and coverage will become effective on the rehire date.
o	The employee will receive the rehire activation email and can log in to complete their enrollment.
•	If the break in employment is longer than the employee's prior period of employment:
o	Do not rehire the employee.
o	Assign the case to the Product team.
o	A new-hire waiting period must be applied to ensure the correct benefit effective date is calculated and displayed.
",0:41,1:50,2:31,,Pratap,Kiran B S,Nitya,07/14/2026,4,,,
July,Howard Sheppard LLC,TrueNorth,469951,Client,07/14/2026,Plan Setup,"The after-OE invoice audit for Howard Sheppard revealed discrepancies between BenJ and the June 2026 carrier invoices. The following updates are needed in BenJ:

Medical Plan (Anthem):
Update rates for new plan year:
Stop Loss Premium: $356.00/mo (Specific $352.14 + Aggregate $3.86)
Admin Fee: $12.00/mo (Admin Fees $35.98 - Pharmacy Rebate Offset $23.98)
Other Fees: $0

Dental Plan (Anthem):
Change plan type effective 6/1/2026:
Change from Fully Insured to Self-Funded
Stop Loss Premium: $0
Admin Fee: $3.60/mo
Other Fees: $0","We have updated the Medical and Dental Plan setup below as followes

Medical Plan (Anthem):
Updated rates for existing new plan year:
Stop Loss Premium: $356.00/mo (Specific $352.14 + Aggregate $3.86)
Admin Fee: $12.00/mo (Admin Fees $35.98 - Pharmacy Rebate Offset $23.98)
Other Fees: $0

Dental Plan (Anthem):
Added plan type effective 6/1/2026:
Changed from Fully Insured to Self-Funded
Stop Loss Premium: $0
Admin Fee: $3.60/mo
Other Fees: $0",0:30,1:30,2:00,,Jeevan S,Kiran B S,Juan,07/14/2026,5,,,
July,AXISCADES,TrueNorth,468870,Internal,07/20/2026,Plan Setup, Update the billing rules for Axiscades Principal plans.,"We have updated the billing rules for Axiscades Principal plans as per below.
Invoice Addition Retro Rules : No Premium for first month unless it is 1st
Invoice Termination Retro Rules : Full month premium
Addition Retro Cap & Termination Retro Cap : 3 Months",0:30,0:50,1:20,,Jeevan S,Kiran B S,Juan,07/20/2026,5,,,
July,Stratus System LLC,"LumberFi, Inc",466867,Client,07/20/2026,Waiting Period Rules,"Update rehire rule to “within 180 days (6 months) of termination, FOMF rehire date for all the plans.","Updated the rehire rule to “within 180 days (6 months) of termination, FOMF rehire date for all plans.” from within 120 days of termination, FOMF rehire date for all plans.",0:30,1:30,2:00,,Jeevan S,Nischith,Nitya,07/20/2026,5,,,
July,Wagner Roofing Company,"LumberFi, Inc",473436,Client,07/23/2026,Waiting Period Rules,"Update waiting period rule to match principal, due to Principal calculating DOH as day 0
-91 days following DOH

Update records that were affected: 
•	Reyes Peralta Angeles - Vision Plan
•	Steven Cahn - Vision Plan
•	Christian Caceres - Critical Illness Plan
","We have updated the Waiting period rules for principal carrier plans as follows below
New Hires - from ""90 Day(s) Following Date of Hire"" to ""91 Day(s) Following Date of Hire""
Rehire - from ""Within 0 Days of termination date, 90 Day(s) Following Date of Rehire
Others, 90 Day(s) Following Date of Rehire to ""Within 0 Days of termination date, 91 Day(s) Following Date of Rehire Others, 91 Day(s) Following Date of Rehire""
Class - from ""Date of Class"" to ""91 Day(s) Following Date of Class""

for Cigna, One america and Vangaurd carrier Plans we have updated only Class from ""Date of Class"" to ""90 Day(s) Following Date of Class""",0:36,1:40,2:16,,Pratap,Kiran B S,Nitya,07/23/2026,5,,,
July,Stratus Systems LLC,"LumberFi, Inc",473783,Client,07/23/2026,Waiting Period Rules,"Update new hire rule for Pirncipal plans to include coinciding terminology

Broker said: “your Principal policy includes coinciding language, if a member starts on the first day of the month and their 30th day of employment is on the 1st day of the month, their coverage will be effective first of the month thereafter.”
","We have updated the waiting Period rules for Principal Carrier plans as follows below
New Hires - from ""First of the Month Following with 30 Day(s) from Date of Hire""  to ""First of the Month Following or Coinciding with 30 Day(s) from Date of Hire""

Rehire - from ""Within 180 Days of termination date, First of the Month Following with 0 Day(s) from Date of Rehire Others, First of the Month Following with 30 Day(s) from Date of Rehire   to ""Within 180 Days of termination date, First of the Month Following or Coinciding with 0 Day(s) from Date of Rehire Others, First of the Month Following or Coinciding with 30 Day(s) from Date of Rehire""

CLDD - from ""First of the Month Following with 30 Day(s) from Date of Class"" to ""First of the Month Following or Coinciding with 30 Day(s) from Date of Class""",0:25,1:45,2:10,,Pratap,Kiran B S,Nitya,07/23/2026,5,,,
July,Monks Painting,"LumberFi, Inc",474096,Client,07/29/2026,Plan Setup,"Add a Full-Time Executive class
-	Adina Erridge
-	Daniel Monks

Update deductions for Medical, Dental, Vision to show $0 EE and full premium as ER cost
",We have Created a new Class Full-Time Executive and we set for Executive class Zero deductions for Employee,2:07,1:45,3:52,,Pratap,Kiran B S,Nitya,07/29/2026,5,,,
August,Altitude Health Services LLC,TrueNorth,474659,Partner,08/04/2026,Plan Setup,"Update Stop Loss rates effective 7/1/2026 for UMR Medical 

Employee Only: $200.37 
Employee + Child(ren): $345.86 
Employee + Spouse: $389.53 
Employee + Family: $580.22 ","Update Stop Loss rates effective 7/1/2026 for UMR Medical (7/1/2026 to 8/31/2026) 

Employee Only: $200.37 
Employee + Child(ren): $345.86 
Employee + Spouse: $389.53 
Employee + Family: $580.22 ",0:40,0:30,1:10,,Kiran B S,Nischith,Nitya,08/05/2026,5,,,
August,Visiting Nurse Health System,Propel Insurance,467385,Client,08/06/2026,Plan Setup,"Update the Invoice Termination Retro Rule for the MetLife plans from “Full month premium if Terminated after 15th of month” to “Full month premium.” 

The current rule is misaligned with how MetLife actually bills — MetLife does not prorate premiums and charges a full month regardless of when in the month an employee terminates. The existing rule has been generating expected credits for mid-month terminations that MetLife will never process, causing recurring invoice reconciliation discrepancies each cycle. 

Changing this to “Full month premium” will align Benefits Junction with MetLife’s actual billing behavior and eliminate this source of ongoing discrepancies. ","Updated the Invoice Termination Retro Rule for the MetLife plans from “Full month premium if Terminated after 15th of month” to “Full month premium.” 

Changing this to “Full month premium” will align Benefits Junction with MetLife’s actual billing behavior and eliminate this source of ongoing discrepancies. 
",0:08,0:30,0:38,,Jeevan S,Kiran B S,Nitya,08/06/2026,5,,,
August,Flora Food Group,Hilb Group,473609,Client,08/06/2026,Plan Setup,"Pet Benefit Solutions is rebranding to Wishbone, and all products will be aligned under the Wishbone brand. 

Pet Benefit Solutions currently offers Total Pet Plan, a discount savings plan. As part of the rebrand, Total Pet Plan has been renamed Wishbone Total Pet. Flora Food Group's BenJ and Flimp portals need to be updated to reflect this change - any reference to ""Total Pet Plan"" should be renamed to ""Wishbone Total Pet.""

The carrier has provided updated logos, a platform setup guide, and plan descriptions as attachments. Screenshots of the completed updates should be shared with Pet Benefits.","We have changed the Carrier name from Pet Benefit Solutions to Wishbone and any reference to ""Total Pet Plan"" renamed to ""Wishbone Total Pet.""",0:40,0:50,1:30,,Jeevan S,Kiran B S,Juan,08/06/2026,5,,,
August,ATK Energy Group,TrueNorth,473546,Partner,08/07/2026,Plan Setup,"Two configuration changes are needed for ATK Energy Group based on a discrepancy identified between the BenJ system setup and the carrier (Principal) configuration, confirmed by the client contact Jennifer Carroll (TrueNorth Companies) on July 24, 2026.

1. Overage Dependent Rule — Update for All Plans (Principal and Medical/BCBS of OK)

The overage dependent rule in BenJ is currently configured as ""When Dependent Turns 26,"" but Principal is applying ""End of Month After 26th Birthday."" This discrepancy was identified when Jennifer Grahn's dependent, Gillian Grahn (DOB 03/30/2000), was removed from plans effective 03/30/2026 in BenJ, while Principal's effective removal date was 04/01/2026. Jennifer Carroll confirmed the correct rule is end-of-month after the dependent turns 26. This same correction should also be applied to the Medical (BCBS of OK) plan, which is currently configured with the same ""When Dependent Turns 26"" rule.

Action: Change overage dependent rule from ""When Dependent Turns 26"" to ""End of Month After 26th Birthday"" for all applicable plans including Principal and Medical (BCBS of OK).

2. Voluntary Life Spouse Age Reduction Rule — Update from Plan Anniversary to Birthday

The age reduction rule for Voluntary Life Spouse (and Employee) coverage in BenJ is currently set to apply on the Plan Anniversary. However, Principal applies the age reduction on the dependent's birthday. This was identified for employee Joe Hulett (EE #2886), whose spouse's date of birth is 01/16/1961 and turned 65 on 01/16/2026. Principal already reduced her coverage on the birthday, but BenJ's current setup would not apply the reduction until the next plan anniversary, 01/01/2027. 

Jennifer Carroll confirmed the age reduction should occur on the Birthday to match Principal.

Action: Change Voluntary Life Spouse (and Employee) age reduction rule trigger from Plan Anniversary to Birthday.
","We have updated the overage-dependent rule from “When Dependent Turns 26” to “End of Month After 26th Birthday” for all applicable plans, including Principal and Medical (BCBS of OK). We also changed the Voluntary Life Spouse (and Employee) age reduction rule trigger from Plan Anniversary to Birthday. ",0:59,1:20,2:19,,Jeevan S,Kiran B S,Juan,08/07/2026,5,,,
August,Quest Building Corp,"LumberFi, Inc",473351,Client,08/11/2026,Plan Setup,Update waiting period rule to include coinciding terminology for all plans,"Updated waiting period rule to include coinciding terminology for all plans


Principal Carrier Waiting Period:
First of the Month Following 12 Month(s) from Date of Hire

To

First of the Month Following or Coinciding with 12 Month(s) from Date of Hire

Other Plans Waiting Period:

First of the Month Following 60 Day(s) from Date of Hire

To 

First of the Month Following or Coinciding with 60 Day(s) from Date of Hire
",0:30,1:20,1:50,,Shilpa,Nischith,Nitya,08/11/2026,5,,,
August,Healthcare of Iowa,TrueNorth,476145,Partner,08/12/2026,Plan Setup,"Create a class – “FMLA with Benefits” 

Make it eligible for Basic Life plans. 

Update Elizabeth Rigg to this class – so benefits are removed effective 9/1 ","Create a class – “FMLA with Benefits” 

Make it eligible for all Basic Life plans not just 10k plan. 

Update Elizabeth Rigg to this class – so benefits are removed effective 9/1.  
 
Change to FMLA with Benefits with effective 8/31/2026. So that Benefits are ended with 9/1/2026 except for Basic Life. ",0:30,1:05,1:35,,Kiran B S,Nischith,Nitya,08/13/2026,5,,,
August,Axiscades,TrueNorth,476175,Partner,08/13/2026,Company Setup,"Create a custom field for entering Visa information for only for dependents
Name the field “Visa Details""”
","We have created a new custom filed setup for only dependent info for entering Visa information and the field has been named ""Visa Details"" ",0:25,1:00,1:25,,Pratap,Kiran B S,Nitya,08/13/2026,5,,,
August,Bryan Construction Inc,"LumberFi, Inc",476871,Partner,08/19/2026,Eligibility Setup,"Add a Location for States – Wisconsin, Florida, and All Other States","We have added new Home State Locations like ""Florida"" and ""Wisconsin"" with same eligible as All Employees and also We renamed the ""All Employees"" location to ""All other States""",0:30,1:00,1:30,,Pratap,Nischith,Nitya,08/19/2026,5,,,
August,Acme Truck Line Inc,TrueNorth,472173,Partner,08/21/2026,Auto enrollment Setup,"The auto-enrollment setup for the Basic Life & AD&D, Employer Paid STD and LTD plans needs to be changed from 'Enroll on completion on due date' to 'Enroll on Eligibility.' This was identified during a class transfer review for employees Shannon Slater and Boris Martin. 

Under the current configuration, the system waits until the CLDD to-do item expires before auto-enrolling employees in employer-paid plans. Changing to 'Enroll on Eligibility' will ensure employees are automatically enrolled as soon as they become eligible, and that auto-enrolled plans are pre-selected in the enrollment workflow
","We have Updated the Auto enrollment setup for the plans Basic Life and STD, LTD Plans from ""Enroll on the completion of due date"" to ""Enroll on Eligibility""",0:20,1:00,1:20,,Pratap,Kiran B S,Juan,08/22/2026,5,,,
